id_parameter,name,unit
1,Licence:,
2,Accounting:,
3,1 user & 1 year,
4,Desktop application,
5,Compatible with Windows,
6,1 year of SageCover support,
7,Download,
8,Up to 15 employees,
9,Compatible with:,
10,CD,
11,Remote control,
12,Purifies / cools,
13,10 speed settings,
14,Removable filter,
15,Purifies / heats / cools,
16,8 hour timer,
17,Quiet operation & variable speeds,
18,Suitable for room size up to 63 mu00b2,
19,Air flow rate:,
20,Suitable for room size up to 36 mu00b2,
21,12 hour timer,
22,UV sterilisation,
23,Real-time air quality monitoring,
24,Replaceable filter,
25,Suitable for room size up to 17 mu00b2,
26,Control remotely from your phone,
27,HEPASilent Technology,
28,8 hour timer & LCD display,
29,3 speed settings,
30,HEPA filter,
31,Power:,
32,Suitable for room size up to 35 mu00b2,
33,Suitable for room size up to 64 mu00b2,
34,Suitable for room size up to 42 mu00b2,
35,Portable,
36,Suitable for room size up to 10 mu00b2,
37,Suitable for room size up to 27 mu00b2,
38,Suitable for room size up to 17.1 mu00b2,
39,HEPA and carbon filter,
40,Multi-stage air purification,
41,Suitable for room size up to 49 mu00b2,
42,Suitable for room size up to 38 mu00b2,
43,6-fan technology,
44,Suitable for room size up to 23 mu00b2,
45,Clean air flow rate:,
46,Removes airborne allergens from the air,
47,Suitable for room size up to 14 mu00b2,
48,Upgrade your stereo with wireless capabilities,
49,Nickel-plated connector,
50,3.5 mm & RCA connections,
51,Bluetooth music streaming,
52,Connect up to 2 devices at once,
53,Four-way 3.5 mm jacks,
54,Control your stereo using your smartphone,
55,Gold-plated connector,
56,Connect up to 3 devices at once,
57,3.5 mm jack x 2,
58,Belt loop,
59,Zip closure,
60,Lanyard,
61,Rain cover,
62,Shoulder strap,
63,Adjustable dividers,
64,Suitable for DSLR cameras,
65,Suitable for compact cameras,
66,Clip / zip / velcro closure,
67,Shoulder strap & belt loop,
68,Carry handle,
69,Plastic clip closure,
70,Suitable for mirrorless / bridge cameras,
71,Weatherproof material,
72,Suitable for bridge cameras,
73,Shoulder strap / carry handle / belt loop,
74,Shoulder strap & carry handle,
75,Suitable for DSLR / mirrorless cameras,
76,Velcro closure,
77,Material:,
78,Zip & clip closure,
79,Dual-zip closure,
80,Suitable for mirrorless cameras,
81,Preserve freshness & reduce food waste,
82,Metric & imperial measures,
83,Weighs up to 10 kg / 22 lbs,
84,Measures liquids,
85,Weighs up to 15 kg / 33 lbs,
86,One-button operation,
87,Capacity:,
88,2 year guarantee,
89,LCD display,
90,2 operating modes,
91,Holds 6 mugs,
