id_product,launch_date,net_price
1,2019-07-01,219.99
1,2020-07-01,249.99
1,2021-07-01,219.99
2,2019-07-01,749.00
2,2020-07-01,749.00
2,2021-07-01,869.00
3,2019-07-01,1199.99
3,2020-04-01,1319.99
3,2021-07-01,1319.99
4,2019-10-01,749.99
4,2020-04-01,749.99
4,2021-04-01,749.99
5,2019-07-01,719.99
5,2020-07-01,599.99
5,2021-04-01,719.99
6,2019-10-01,499.00
6,2020-07-01,499.00
6,2021-04-01,499.00
7,2019-04-01,99.99
7,2020-07-01,99.99
7,2021-07-01,99.99
8,2019-07-01,86.99
8,2020-07-01,86.99
8,2021-04-01,86.99
9,2019-07-01,179.99
9,2020-04-01,179.99
9,2021-10-01,179.99
10,2019-07-01,149.99
10,2020-04-01,179.99
10,2021-10-01,179.99
11,2019-10-01,229.00
11,2020-04-01,199.00
11,2021-10-01,229.00
12,2019-04-01,599.00
12,2020-10-01,599.00
12,2021-04-01,599.00
13,2019-04-01,79.99
13,2020-07-01,89.99
13,2021-10-01,79.99
14,2019-07-01,249.99
14,2020-07-01,289.99
14,2021-07-01,289.99
15,2019-04-01,549.00
15,2020-07-01,549.00
15,2021-07-01,549.00
16,2019-10-01,48.99
16,2020-10-01,36.99
16,2021-10-01,36.99
17,2019-10-01,359.99
17,2020-10-01,399.99
17,2021-04-01,399.99
18,2019-04-01,79.99
18,2020-04-01,79.99
18,2021-10-01,79.99
19,2019-10-01,101.99
19,2020-07-01,89.99
19,2021-07-01,101.99
20,2019-10-01,929.99
20,2020-07-01,749.99
20,2021-10-01,749.99
21,2019-10-01,159.99
21,2020-04-01,119.99
21,2021-10-01,119.99
22,2019-10-01,69.99
22,2020-07-01,69.99
22,2021-07-01,79.99
23,2019-07-01,149.00
23,2020-07-01,179.00
23,2021-07-01,179.00
24,2019-10-01,439.99
24,2020-10-01,399.99
24,2021-07-01,399.99
25,2019-04-01,5.49
25,2020-04-01,5.49
25,2021-07-01,5.49
26,2019-04-01,11.49
26,2020-07-01,11.49
26,2021-07-01,11.49
27,2019-04-01,11.49
27,2020-04-01,11.49
27,2021-04-01,11.49
28,2019-04-01,9.99
28,2020-04-01,9.99
28,2021-04-01,9.99
29,2019-10-01,64.99
29,2020-10-01,72.99
29,2021-10-01,72.99
30,2019-10-01,17.97
30,2020-10-01,9.97
30,2021-07-01,17.97
31,2019-07-01,45.49
31,2020-10-01,45.49
31,2021-10-01,37.49
32,2019-07-01,11.49
32,2020-10-01,19.49
32,2021-10-01,19.49
33,2019-04-01,12.99
33,2020-10-01,12.99
33,2021-10-01,20.99
34,2019-07-01,61.99
34,2020-04-01,61.99
34,2021-07-01,61.99
35,2019-04-01,29.49
35,2020-04-01,17.49
35,2021-07-01,17.49
36,2019-10-01,8.99
36,2020-10-01,20.99
36,2021-07-01,20.99
37,2019-10-01,39.99
37,2020-07-01,49.99
37,2021-04-01,39.99
38,2019-07-01,89.99
38,2020-07-01,99.99
38,2021-07-01,89.99
39,2019-04-01,76.99
39,2020-10-01,64.99
39,2021-10-01,64.99
40,2019-10-01,69.99
40,2020-10-01,59.99
40,2021-07-01,69.99
41,2019-07-01,49.99
41,2020-07-01,49.99
41,2021-07-01,49.99
42,2019-10-01,29.99
42,2020-07-01,29.99
42,2021-10-01,29.99
43,2019-10-01,12.97
43,2020-07-01,12.97
43,2021-07-01,12.97
44,2019-07-01,64.99
44,2020-10-01,64.99
44,2021-10-01,54.99
45,2019-07-01,39.99
45,2020-04-01,47.99
45,2021-07-01,39.99
46,2019-07-01,27.99
46,2020-07-01,19.99
46,2021-10-01,19.99
47,2019-10-01,22.99
47,2020-10-01,22.99
47,2021-04-01,22.99
48,2019-10-01,83.99
48,2020-07-01,75.99
48,2021-07-01,83.99
49,2019-10-01,64.97
49,2020-04-01,74.97
49,2021-10-01,64.97
50,2019-07-01,24.99
50,2020-07-01,34.99
50,2021-04-01,24.99
51,2019-07-01,39.99
51,2020-10-01,29.99
51,2021-10-01,29.99
52,2019-07-01,28.99
52,2020-04-01,28.99
52,2021-10-01,28.99
53,2019-04-01,49.97
53,2020-04-01,59.97
53,2021-04-01,59.97
54,2019-04-01,34.99
54,2020-07-01,46.99
54,2021-04-01,46.99
55,2019-07-01,89.97
55,2020-07-01,89.97
55,2021-07-01,79.97
56,2019-04-01,69.97
56,2020-10-01,69.97
56,2021-07-01,81.97
57,2019-07-01,169.00
57,2020-07-01,169.00
57,2021-04-01,169.00
58,2019-07-01,34.99
58,2020-04-01,34.99
58,2021-07-01,46.99
59,2019-07-01,38.99
59,2020-07-01,38.99
59,2021-10-01,26.99
60,2019-07-01,97.99
60,2020-04-01,97.99
60,2021-10-01,97.99
61,2019-10-01,27.97
61,2020-04-01,19.97
61,2021-04-01,27.97
62,2019-04-01,14.99
62,2020-07-01,14.99
62,2021-04-01,14.99
63,2019-07-01,24.99
63,2020-04-01,24.99
63,2021-10-01,24.99
64,2019-10-01,21.99
64,2020-07-01,21.99
64,2021-04-01,21.99
65,2019-04-01,24.99
65,2020-07-01,24.99
65,2021-07-01,24.99
66,2019-04-01,99.99
66,2020-10-01,107.99
66,2021-10-01,107.99
67,2019-07-01,19.99
67,2020-10-01,27.99
67,2021-07-01,27.99
68,2019-10-01,17.99
68,2020-04-01,25.99
68,2021-04-01,25.99
69,2019-07-01,21.99
69,2020-07-01,21.99
69,2021-07-01,13.99
70,2019-04-01,29.99
70,2020-07-01,21.99
70,2021-10-01,29.99
71,2019-10-01,13.99
71,2020-04-01,21.99
71,2021-07-01,21.99
72,2019-07-01,279.00
72,2020-07-01,319.00
72,2021-07-01,279.00
73,2019-04-01,91.99
73,2020-07-01,79.99
73,2021-10-01,91.99
74,2019-07-01,169.99
74,2020-10-01,199.99
74,2021-07-01,169.99
75,2019-10-01,32.99
75,2020-07-01,32.99
75,2021-04-01,32.99
76,2019-07-01,34.99
76,2020-10-01,34.99
76,2021-10-01,34.99
77,2019-04-01,44.99
77,2020-10-01,32.99
77,2021-07-01,32.99
78,2019-04-01,15.99
78,2020-10-01,27.99
78,2021-10-01,15.99
79,2019-07-01,19.99
79,2020-10-01,31.99
79,2021-10-01,19.99
80,2019-10-01,37.99
80,2020-10-01,25.99
80,2021-07-01,25.99
81,2019-04-01,19.99
81,2020-07-01,31.99
81,2021-07-01,31.99
82,2019-04-01,57.99
82,2020-07-01,57.99
82,2021-10-01,57.99
