id,id_category,name,id_brand
1,1,50 Payroll - 15 users,1
2,1,50 Accounts Plus,1
3,1,50c Accounts Professional,1
4,1,50c Accounts Standard,1
5,2,Purifier Humidify+Cool Auto React,8
6,2,Purifier Cool,8
7,2,"EH3234 4-in-1 Air Cooler, Heater, Purifier & Humidifier - White & Black",2
8,2,HOBBS Clean Air Pro RHAP2001B Air Purifier - Black,6
9,2,Series 800 AC0820/30 Air Purifier,4
10,2,Blue 3210 Air Purifier - Grey,3
11,2,6 Fan HE600UK Air Purifier,5
12,2,Purifier Hot+Cool Formaldehyde,8
13,2,TruSens Z-1000 Air Purifier,9
14,2,Blue 3410 Air Purifier - Grey,3
15,2,Purifier Hot+Cool,8
16,2,EH3347EU7 Portable Air Purifier,2
17,2,Series 1000i AC1214/60 Smart Air Purifier,4
18,2,HOBBS RHAP1001B Portable Air Purifier,6
19,2,HOBBS Clean Air Pro RHAP2001G Air Purifier - Grey,6
20,2,HealthProtect 7470i Smart Air Purifier,3
21,2,TotalClean AP-25A-GB Air Purifier,7
22,2,EH3349 Portable Air Purifier,2
23,2,TruSens Z-2000 Air Purifier,9
24,2,"2000 Series AMF220/35 3-in-1 Air Purifier, Fan & Heater",4
25,4,Headphone Splitter Cable - 0.2 m,10
26,4,L35RCA18 3.5 mm to RCA Cable - 1.8 m,10
27,4,3.5 mm Aux Cable  1.8 m,14
28,4,LM4HPSP18 Multiple Headphones Splitter,10
29,4,WSS21-W2 Floorstand,15
30,4,2.5 mm to 3.5 mm Aux Cable - 1 m,13
31,4,FOR ALL Bluetooth Music Receiver,12
32,4,L3535C19 Aux Cable - 1.8 m,10
33,4,Mix-It 3.5 mm AV Cable - 1.8 m,11
34,4,FOR ALL SV1820 Bluetooth Music Receiver HD,12
35,4,3.5 mm to RCA Cable - 1.8 m,14
36,4,AV10128cw03-BLK 3.5 mm AUX Cable - 0.9 m,11
37,4,WSWM21-W2 Wall Mount Tilt & Swivel Speaker Bracket,15
38,4,WSS51-W2 SONOS Speaker Stand - White,15
39,4,WSS21-B2 Floorstand,15
40,4,WSWM22-W2 Tilt & Swivel Speaker Bracket,15
41,4,WSWM22-B2 Tilt & Swivel Sonos Speaker Bracket - Black,15
42,5,Adventura SH100 ll Compact System Camera Bag - Black,21
43,5,LOGIC DCB302GY Compact Camera Case - Anthracite,20
44,5,Truckee BP 150 LX  Camera Backpack - Black & Grey,21
45,5,Adventura SH 120 ll DSLR Camera Bag - Black,21
46,5,Samara 110 Camera Bag - Black,18
47,5,LCS-CS2 Camera Case - Black,17
48,5,Tahoe BP 150 DSLR Camera Backpack  Black,21
49,5,P150AW2 Photo Hatchback Camera Backpack - Black,21
50,5,Valletta 130 Camera Bag - Black,18
51,5,Adventura TLZ 20 ll Mirrorless Camera Bag - Black,21
52,5,Valletta 140 Camera Bag - Black,18
53,5,Advanced Pixi MB MA-M-AS Compact System Camera Bag - Black,19
54,5,GearUp Creator Box L II Camera Case  Black & Grey,21
55,5,StreetLine SL 140 Camera Bag - Charcoal Grey,21
56,5,TENBA DNA 8 Mirrorless Camera Bag - Cobalt,16
57,5,ProTactic BP 300 AW II DSLR Camera Backpack - Black,21
58,5,Adventura TLZ 30 ll DSLR Camera Bag - Black,21
59,5,Hardside CS 20 Compact Camera Case - Black,21
60,5,Slingshot SL 250 AW III DSLR Camera Backpack - Black,21
61,5,Apex 30 AW Camera Case - Black,21
62,6,Phantom 1180 BKDR Digital Kitchen Scales - Black,23
63,6,EK2311 Electric Spice & Coffee Grinder - Stainless Steel,23
64,6,James Martin ZX595 Spice/Coffee Grinder  Stainless Steel,22
65,6,Vega 1074 BKDR Digital Kitchen Scales - Black,23
66,6,OSC-MT-MP01 Smart Meat Thermometer - Silver,27
67,6,Disc 1036 BKSSDR Digital Kitchen Scales - Black,23
68,6,111381 Digital Meat Thermometer,24
69,6,Jewel 95318 Digital Kitchen Scales - Black,24
70,6,1160 BKDR Digital Kitchen Scales - Black,23
71,6,Retro Mug Tree - Red,25
72,6,OSC-MT-MB01 Smart Meat Thermometer - Silver,27
73,6,OSC-MT-ME01 Smart Meat Thermometer - Silver,27
74,6,Vac Prestige 575 Vacuum Sealer - Grey,26
75,6,Aquatronic 1079 WHDR Digital Kitchen Scales - Black & White,23
76,6,1240 SSDR Digital Kitchen Scales - Stainless Steel,23
77,6,1193 BKDR Smart Digital Kitchen Scales - Black,23
78,6,800 WHBKDR Kitchen Scales - White,23
79,6,Ghost 1180 WHDR Digital Kitchen Scales - White,23
80,6,1050 WHDR Digital Kitchen Scales - White,23
81,6,Disc 1036 WHSSDR Digital Kitchen Scales - White,23
82,7,LP-E17 Lithium-ion Camera Battery,28
83,7,UDC5001A-RPUK Universal Battery Charger,31
